mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
35	35	97	2.0	0	0	3/4	3	1	1/2	1/2	1		8	56	G#3	3	305
35	35	97	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	303
35	35	97	2.0	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	301
35	35	99	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		11	53	E#3	3	308
35	35	99	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		7	61	C#4	4	306
35	35	99	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68	G#4	4	304
35	35	99	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	302
36	36	100	1.0	0	0	3/4	4	1	1/4	1/4	1		6	54	F#3	3	317
36	36	100	1.0	0	0	3/4	3	1	1/4	1/4	1		6	66	F#4	4	314
36	36	100	1.0	0	0	3/4	2	1	1/4	1/4	1		3	69	A4	4	311
36	36	100	2.0	0	0	3/4	1	1	1/2	1/2	1		2	74	D5	5	309
36	36	101	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		8	56	G#3	3	318
36	36	101	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		4	64	E4	4	315
36	36	101	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	71	B4	4	312
36	36	102	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		3	57	A3	3	319
36	36	102	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		4	64	E4	4	316
36	36	102	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69	A4	4	313
36	36	102	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	310
37	37	103	1.0	0	0	3/4	4	1	1/4	1/4	1		4	52	E3	3	331
37	37	103	0.5	0	0	3/4	3	1	1/8	1/8	1		4	64	E4	4	327
37	37	103	1.0	0	0	3/4	2	1	1/4	1/4	1		8	68	G#4	4	325
37	37	103	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	320
37	37	207/2	0.5	1/8	1/8	3/4	3	1	1/8	1/8	1		2	62	D4	4	328
37	37	104	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		6	54	F#3	3	332
37	37	104	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		7	61	C#4	4	329
37	37	104	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	A4	4	321
37	37	104	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		3	69	A4	4	326
37	37	209/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		8	68	G#4	4	322
37	37	105	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		2	50	D3	3	333
37	37	105	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		6	66	F#4	4	330
37	37	105	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	323
37	37	211/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	324
38	38	106	2.0	0	0	3/4	4	1	1/2	1/2	1		4	52	E3	3	340
38	38	106	2.0	0	0	3/4	3	1	1/2	1/2	1		4	64	E4	4	338
38	38	106	1.0	0	0	3/4	2	1	1/4	1/4	1		3	69	A4	4	336
38	38	106	1.0	0	0	3/4	1	1	1/4	1/4	1		7	73	C#5	5	334
38	38	107	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		8	68	G#4	4	337
38	38	107	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		5	71	B4	4	335
38	38	108	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		4	52	E3	3	341
38	38	108	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		2	62	D4	4	339
39	39	109	2.0	0	0	3/4	4	1	1/2	1/2	1		3	45	A2	2	345
39	39	109	2.0	0	0	3/4	3	1	1/2	1/2	1		7	61	C#4	4	344
39	39	109	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	343
39	39	109	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	342
